genre_ID,average tempo, average duration,average danceability
632,117.83,178894.3153,0.6
633,102.55,186158.6606,0.41
634,115.5,225309.8795,0.5
635,133.26,285836.4573,0.52
636,129.3,408749.8702,0.57
637,103.73,306642.774,0.57
638,109.28,231352.875,0.48
639,96.3,182860,0.27
640,145.99,245880,0.63
641,112.5,265686.8451,0.54
642,138.08,214631.8,0.54
643,124.48,205143.7593,0.63
644,127.35,252254.9462,0.5
645,103.56,258550.5443,0.53
646,121.62,300403.7206,0.5
647,137.68,190194.2324,0.65
648,101.15,193977.8333,0.6
649,108.39,234168.9867,0.37
650,134.66,273176.325,0.58
651,123.53,220803.6,0.36
652,140.91,272960,0.63
653,123.34,256842.2948,0.53
654,109.06,183921.028,0.64
655,131.52,269046.9,0.55
656,112.34,214341.2323,0.55
657,118.73,234765.971,0.58
658,103.74,229256.7843,0.33
659,115.24,194755.2342,0.52
660,123.38,238055.5257,0.63
661,103.96,281443,0.81
662,91.83,201316.3333,0.58
663,120.31,224907.7992,0.55
664,121.84,218236.0565,0.61
665,102.74,313136.2927,0.32
666,132.07,153067,0.35
667,103.66,250083.7176,0.33
668,93.64,311261.4388,0.3
669,105.61,267766.5933,0.29
670,103.82,321908.6997,0.29
671,107.91,285878.0217,0.32
672,118.41,289369.2292,0.28
673,109.68,263070.3981,0.37
674,103.03,452693.88,0.36
675,109.93,222009.6414,0.4
676,126.79,258000,0.64
677,99.55,239523.6,0.41
678,84.9,366864.1061,0.21
679,120.33,261033.3333,0.46
680,99.72,351701.6877,0.29
681,80.3,343334.8889,0.24
682,105.02,305642.8455,0.21
683,103.91,329335.976,0.31
684,97.42,310681.1754,0.33
685,80.8,138933,0.38
686,92.32,356422.3333,0.31
687,134.61,331599.28,0.31
688,100.66,276433.9303,0.31
689,100.06,289356.0064,0.31
690,121.43,205480.3534,0.39
691,115.65,249573.2847,0.53
692,140.83,187023.5,0.53
693,105.09,217190.3165,0.58
694,118.46,212508.5591,0.37
695,93.18,197352.3,0.68
696,146.52,226564.3333,0.67
697,76.02,234293,0.64
698,69.51,98920,0.53
699,134.89,357439.6667,0.53
700,123.99,819510,0.7
701,127.79,416835.15,0.79
702,143.5,326007.4,0.72
703,127.01,410212,0.8
704,120.72,236100.1776,0.69
705,117.0,271617.3958,0.69
706,123.0,346000,0.81
707,101.74,252044.1437,0.55
708,121.29,235689.2549,0.66
709,123.35,209021.3902,0.56
710,117.22,218968.2277,0.58
711,118.72,216930.2598,0.53
712,133.98,381169,0.7
713,136.71,430944.7255,0.49
714,111.92,317792.9178,0.37
715,126.2,319178.8792,0.28
716,132.04,131165.5714,0.41
717,107.6,256169.5934,0.68
718,109.08,281587,0.29
719,99.01,375928.3783,0.29
720,80.92,360308.008,0.32
721,127.14,219358.5371,0.59
722,129.21,241922.0833,0.51
723,117.5,320608.7447,0.51
724,112.29,349614.1584,0.44
725,111.35,355449.0122,0.48
726,113.71,241440.2847,0.54
727,80.96,453930.7143,0.1
728,112.76,325263.6668,0.51
729,112.86,188697.3258,0.52
730,132.74,139635.875,0.45
731,163.98,278143,0.13
732,126.51,204327.0794,0.69
733,118.96,216602.9093,0.69
734,143.57,241376.5374,0.48
735,116.66,211088.5357,0.5
736,122.71,487343.875,0.21
737,105.53,266905.8333,0.54
738,137.89,234767.4625,0.46
739,122.56,212072.5799,0.59
740,114.33,207479.2804,0.6
741,134.89,152274.7322,0.74
742,124.37,227644.0936,0.59
743,114.72,174362.9852,0.55
744,131.17,204113.0925,0.58
745,111.24,223533,0.66
746,119.43,223814.2589,0.71
747,125.36,217987.4914,0.58
748,121.33,231097.6006,0.57
749,106.91,204972,0.7
750,118.31,172513.1734,0.58
751,135.42,223519.0961,0.56
752,105.39,169109.75,0.46
753,128.01,371561.6667,0.65
754,97.19,241520,0.32
755,123.51,236194.55,0.59
756,122.4,233643.125,0.57
757,131.68,495553,0.32
758,119.31,210161.3976,0.32
759,121.17,260253.2314,0.77
760,129.49,150104.9699,0.32
761,116.46,282666.5,0.67
762,127.31,267031.2,0.64
763,113.25,223280.6728,0.59
764,101.14,237084.8357,0.7
765,120.17,225006.306,0.71
766,109.62,245129.7768,0.7
767,96.02,247706.5,0.8
768,110.08,223150.0625,0.72
769,116.17,214921.2589,0.72
770,141.48,316839.6667,0.66
771,133.6,242129.517,0.75
772,111.2,228357.5,0.8
773,95.9,361155.3333,0.43
774,104.84,167800.2,0.61
775,112.67,249766.1965,0.74
776,127.4,229496.7241,0.69
777,107.44,228274.7143,0.8
778,116.88,282700.4542,0.49
779,171.97,236067,0.57
780,102.0,196995.6667,0.39
781,97.86,354530.0946,0.28
782,95.82,395559.8333,0.33
783,112.59,159891.6667,0.42
784,132.92,142865.0556,0.43
785,100.41,203378.3833,0.65
786,98.02,211191.159,0.62
787,135.28,116014.7273,0.24
788,104.23,233778.8529,0.44
789,135.0,96000,0.42
790,127.99,150573.5,0.56
791,139.57,208947,0.3
792,120.3,231444.2266,0.66
793,123.8,247435.9458,0.58
794,126.45,239889.1526,0.55
795,115.83,228817.8588,0.73
796,126.98,295947,0.37
797,115.42,368950.75,0.66
798,102.09,415175.7889,0.28
799,124.02,228200,0.61
800,129.26,287250.0417,0.64
801,124.0,419200,0.81
802,125.99,312933,0.8
803,126.0,232068.5,0.89
804,117.46,298869.2917,0.49
805,139.06,267429.3115,0.39
806,121.06,229572.0909,0.69
807,114.66,357323.4167,0.46
808,111.21,288347,0.56
809,111.25,236621.4444,0.47
810,111.21,288347,0.56
811,125.99,312933,0.8
812,125.85,189185.4792,0.56
813,204.21,213187,0.37
814,101.41,174656.3651,0.59
815,122.61,205579,0.58
816,134.35,250205.3547,0.43
817,131.79,262686.6636,0.55
818,127.49,343380,0.56
819,128.22,277515.2222,0.5
820,157.03,2873659.333,0.38
821,92.01,410133.72,0.29
822,127.48,440251.3214,0.69
823,137.55,259598.9253,0.5
824,126.6,532864.6,0.63
825,147.01,442953,0.72
826,128.19,395489.1111,0.77
827,129.22,189511.0029,0.7
828,128.1,267398.0176,0.49
829,172.02,389164.5,0.59
830,99.99,289187,0.45
831,140.94,195955.7361,0.44
832,128.67,114153.7758,0.34
833,125.94,262612.75,0.24
834,119.65,270230.0778,0.33
835,123.48,222367.9802,0.44
836,116.24,202998.4,0.34
837,113.94,259993.2,0.47
838,120.13,267528.4276,0.33
839,142.85,260335.2867,0.42
840,137.73,214603.5,0.4
841,127.9,228905.6,0.49
842,114.19,161690.3116,0.53
843,129.74,291623.7084,0.58
844,129.83,363936.1095,0.47
845,116.99,325438,0.65
846,119.07,261488.4563,0.51
847,90.61,147107,0.57
848,95.68,197368.7778,0.64
849,122.7,191114.8981,0.59
850,129.51,258854.5,0.71
851,129.94,62773,0.52
852,123.33,443454,0.78
853,129.01,335658,0.77
854,108.91,107363.4167,0.46
855,118.68,401315.1354,0.73
856,126.8,315420.8333,0.7
857,160.44,352874.5714,0.7
858,128.51,356231.5,0.51
859,117.73,230392.2222,0.78
860,125.61,338541.4408,0.76
861,124.01,221821,0.58
862,127.31,326103.6667,0.68
863,97.78,226449.5,0.75
864,87.65,672934.5417,0.29
865,119.26,239184.6667,0.74
866,145.5,452423,0.66
867,125.43,204559.6667,0.66
868,124.5,378780,0.82
869,142.49,260622,0.67
870,102.52,209480,0.52
871,122.91,261680.307,0.74
872,169.99,302159.5,0.56
873,138.9,151942,0.38
874,123.66,358655.1154,0.74
875,135.0,263449,0.62
876,101.5,252452.5625,0.62
877,109.84,244307,0.56
878,97.5,288692.5833,0.62
879,137.34,298013,0.7
880,171.0,340027,0.47
881,116.16,250827,0.39
882,137.0,70074,0.4
883,125.03,167673,0.64
884,125.63,396739.9731,0.79
885,119.1,152395.4444,0.55
886,115.44,245712.3287,0.53
887,131.0,284349,0.62
888,112.15,194333.1204,0.69
889,127.22,218920.08,0.65
890,103.0,229053,0.56
891,126.25,497141,0.59
892,135.03,242257.8348,0.55
893,167.46,334480,0.5
894,123.5,129400,0.58
895,130.0,186133.5,0.53
896,112.43,200730.5809,0.72
897,124.52,190436.2024,0.7
898,100.7,309255.4167,0.54
899,108.43,242288.6365,0.64
900,121.98,338571,0.84
901,109.56,156427.82,0.39
902,116.2,155101.5,0.67
903,135.57,266397.1285,0.75
904,122.22,221714.4883,0.63
905,124.66,441123.8111,0.7
906,123.0,397985,0.73
907,112.05,235391.8724,0.67
908,126.26,206514.0956,0.72
909,130.42,212674.8718,0.6
910,125.98,219798.5,0.77
911,120.09,197549.0287,0.57
912,111.27,241757,0.82
913,97.94,253160,0.57
914,115.98,253353.5,0.64
